Optimization;Cloud;TimeTree;TimeOWM;Level;MinRadMaxNum
owm-sycl-cpu;Alcoy;0.33772;0.18072;0;64
owm-sycl-cpu;Arzua;0.71009;0.17368;0;128
owm-sycl-cpu;BrionF;0.89409;0.07630;0;64
owm-sycl-cpu;BrionU;1.00277;0.09105;0;128
owm-sycl-cpu-nomemo;Alcoy;0.33419;0.19971;0;64
owm-sycl-cpu-nomemo;Arzua;0.70788;0.23119;0;128
owm-sycl-cpu-nomemo;BrionF;0.85240;0.15800;0;512
owm-sycl-cpu-nomemo;BrionU;0.97105;0.17474;0;512
owm-sycl-igpu;Alcoy;0.78603;0.43379;0;64
owm-sycl-igpu;Arzua;1.69070;0.54470;0;32
owm-sycl-igpu;BrionF;1.82007;0.29651;0;64
owm-sycl-igpu;BrionU;2.10780;0.31198;0;64
owm-sycl-igpu-nomemo;Alcoy;0.78045;0.52947;0;64
owm-sycl-igpu-nomemo;Arzua;1.66429;1.07776;0;128
owm-sycl-igpu-nomemo;BrionF;1.82286;0.97536;0;256
owm-sycl-igpu-nomemo;BrionU;2.09866;1.10175;0;256
owm-sycl-dgpu;Alcoy;0.08609;0.08265;0;64
owm-sycl-dgpu;Arzua;0.16712;0.11769;0;64
owm-sycl-dgpu;BrionF;0.19855;0.07766;0;128
owm-sycl-dgpu;BrionU;0.20780;0.08542;0;128
owm-sycl-dgpu-nomemo;Alcoy;0.07769;0.10092;0;256
owm-sycl-dgpu-nomemo;Arzua;0.14880;0.20409;0;512
owm-sycl-dgpu-nomemo;BrionF;0.18735;0.18422;0;512
owm-sycl-dgpu-nomemo;BrionU;0.20133;0.20584;0;1024
owm-sycl-cuda-dgpu;Alcoy;0.02955;0.17032;0;64
owm-sycl-cuda-dgpu;Arzua;0.05855;0.21247;0;128
owm-sycl-cuda-dgpu;BrionF;0.07976;0.15875;0;128
owm-sycl-cuda-dgpu;BrionU;0.08963;0.171;0;128
owm-sycl-cuda-dgpu-nomemo;Alcoy;0.02955;0.2674;0;64
owm-sycl-cuda-dgpu-nomemo;Arzua;0.05855;0.44619;0;128
owm-sycl-cuda-dgpu-nomemo;BrionF;0.07876;0.45458;0;128
owm-sycl-cuda-dgpu-nomemo;BrionU;0.08963;0.6493;0;128
owm-cuda;Alcoy;0.02467;0.10844;0;16
owm-cuda;Arzua;0.04293;0.14560;0;32
owm-cuda;BrionF;0.06361;0.08905;0;32
owm-cuda;BrionU;0.07154;0.09676;0;32
owm-cuda-grid;Alcoy;0.02421;0.11103;0;16
owm-cuda-grid;Arzua;0.04671;0.14538;0;32
owm-cuda-grid;BrionF;0.06643;0.08909;0;32
owm-cuda-grid;BrionU;0.07597;0.09687;0;32
owm-cuda-nomemo;Alcoy;0.02187;0.13594;0;32
owm-cuda-nomemo;Arzua;0.03998;0.22576;0;64
owm-cuda-nomemo;BrionF;0.05792;0.23754;0;256
owm-cuda-nomemo;BrionU;0.06602;0.25575;0;256
